section,path,size_bytes,details,note
stale_file,C:\User Manual\User Manual\Thai\G07_MS_16P7_v1.0_Thai.pdf,5931509,stale_file,review required
stale_file,C:\User Manual\User Manual\Russian\G12_MS_16P7_v1.0_Russian(G52-16P71X2).pdf,5913251,stale_file,review required
stale_file,C:\User Manual\User Manual\Indonesian\G06_MS_16P7_v1.0_Indonesian(G52-16P71X3).pdf,5861695,stale_file,review required
stale_file,C:\User Manual\User Manual\Korean\G05_MS_16P7_v1.0_Korean.pdf,5853387,stale_file,review required
stale_file,C:\User Manual\User Manual\Kazakh\G13_MS_16P7_v1.0_Kazakh(G52-16P71X4).pdf,5822571,stale_file,review required
stale_file,C:\User Manual\User Manual\Turkish\G11_MS_16P7_v1.0_Turkish(G52-16P71X1).pdf,5812048,stale_file,review required
stale_file,C:\User Manual\User Manual\English\G01_MS_16P7_v1.0_English.pdf,5793395,stale_file,review required
stale_file,C:\User Manual\User Manual\French\G08_MS_16P7_v1.0_French.pdf,5780805,stale_file,review required
stale_file,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\acrocef_2\libGLESv2.dll,5685712,stale_file,review required
stale_file,C:\Program Files\SteelSeries\GG\apps\engine\engineApps\audiovisualizer\Qt5Gui.dll,5674872,stale_file,review required
stale_file,C:\Program Files\Canon\Easy-WebPrint EX\ewpexedt.dll,5656760,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\Qt6Pdf.dll,5558408,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\uplay_r164.dll,5508928,stale_file,review required
stale_file,C:\Program Files (x86)\NortonInstaller\{0C55C096-0F1D-4F28-AAA2-85EF591126E7}\NGC\A5E82D02\22.20.5.39\Install.mft,5487212,stale_file,review required
stale_file,C:\Program Files\BlueStacks_msi2\BstkRT.dll,5426272,stale_file,review required
stale_file,C:\Program Files\Image-Line\Shared\elastique_x64.dll,5413672,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\Qt6Designer.dll,5303432,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\Qt6Qml.dll,5276808,stale_file,review required
stale_file,C:\Program Files\HP\HP Officejet Pro 8610\Bin\HPStatusUI.dll,5241352,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Plugins\Fruity\Generators\Fruity Wrapper\Fruity Wrapper_x64.dll,5227248,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Plugins\Fruity\Effects\Fruity Wrapper\Fruity Wrapper_x64.dll,5226728,stale_file,review required
stale_file,C:\Windows\WinSxS\Fusion\amd64_microsoft.vc90.mfc_1fc8b3b9a1e18e3b_none_a2f75f3b9d7989e4\9.0\9.0.30729.4148\mfc90u.dll,5102400,stale_file,review required
stale_file,C:\Program Files\HP\HP Officejet Pro 8610\Bin\FaxApplicationsUI.dll,5087240,stale_file,review required
stale_file,C:\Windows\WinSxS\Fusion\amd64_microsoft.vc90.mfc_1fc8b3b9a1e18e3b_none_a2f75f3b9d7989e4\9.0\9.0.30729.4148\mfc90.dll,5083448,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\QtWidgets.pyd,5053952,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Shared\elastique_x64.dll,5033200,stale_file,review required
stale_file,C:\Program Files\HP\HP Officejet Pro 8610\DriverStore\Yeti\V3\i386\mtxr.dll,5001728,stale_file,review required
stale_file,C:\Program Files\BlueStacks_msi2\libGLESv2.dll,4860000,stale_file,review required
stale_file,C:\Program Files\Norton Security\NortonData\22.16.1.4\Definitions\SDSDefs\20191028.007\Eraser64.dll,4840152,stale_file,review required
stale_file,C:\Program Files\Image-Line\Shared\DirectWaveCtEngine_x64.dll,4796744,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\uplay_r1.dll,4613440,stale_file,review required
stale_file,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\extras\CUPTI\lib64\cupti64_2024.1.1.dll,4576840,stale_file,review required
stale_file,C:\Windows\twain_32\HP Officejet Pro 8610\HPScanUI.dll,4548104,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\vk_swiftshader.dll,4531520,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Plugins\Fruity\Generators\Fruity Slicer\Fruity Slicer_x64.dll,4482280,stale_file,review required
stale_file,C:\Program Files\SteelSeries\GG\apps\engine\engineApps\audiovisualizer\Qt5Widgets.dll,4476800,stale_file,review required
stale_file,C:\Program Files\SteelSeries\GG\cvgamesense\python310.dll,4458776,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Plugins\Fruity\Generators\3x Osc\3x Osc_x64.dll,4435176,stale_file,review required
stale_file,C:\Program Files\Norton Security\NortonData\22.16.1.4\Definitions\SDSDefs\20191028.007\sds_appendix_1_x64.dll,4433624,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\Qt6Quick3DRuntimeRender.dll,4353160,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 20\Plugins\Fruity\Effects\Soundgoodizer\Soundgoodizer.dll,4313896,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Compute 2024.1.1\host\target-windows-x64\cupti64_118.dll,4302416,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.4.4\target-windows-x64\cupti64_118.dll,4301888,stale_file,review required
stale_file,C:\Program Files\HP\HP Officejet Pro 8610\Bin\ToolboxUI.dll,4270600,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Plugins\Fruity\Effects\Fruity Parametric EQ 2\Fruity Parametric EQ 2_x64.dll,4260584,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\uplay_r2.dll,4249920,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\shareplay\Qt5Quick.dll,4241016,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 20\Plugins\Fruity\Generators\Harmor\Harmor.dll,4209448,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\d3dcompiler_47.dll,4173928,stale_file,review required
stale_file,C:\Program Files\BlueStacks_msi2\d3dcompiler_47.dll,4166240,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\pyshacl\assets\schema.pickle,4115032,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Plugins\Fruity\Effects\Fruity Limiter\Fruity Limiter_x64.dll,4102888,stale_file,review required
stale_file,C:\Program Files (x86)\BurnRecovery\2016NotebookSystemRecoveryManual_H.PDF,4098991,stale_file,review required
stale_file,C:\Program Files (x86)\BurnRecovery\2016NotebookSystemRecoveryManual_A.PDF,4092637,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 20\Plugins\Fruity\Generators\DirectWave\editor.dll,4080424,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 20\Plugins\Fruity\Effects\Vocodex\Synthesizer\Sytrus.dll,4069672,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\Qt6ShaderTools.dll,4067976,stale_file,review required
